school,teamname,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new,year,team,unitid,vseteamname,alumni_ops_academic,alumni_ops_faculty,alumni_ops_research,alumni_ops_libraries,alumni_ops_physical_plant,alumni_ops_student_aid,alumni_ops_athletics,alumni_ops_other,alumni_ops_total,alumni_donation_rate,alumni_ugrad_donation_rate,alumni_ops_donation_rate,alumni_solicit_rate,alumni_giving_as_share_of_total,alumni_of_record,alumni_donors,alumni_total_giving,ops_athletics_donors,ops_athletics_total_ath,capital_athletics_donors,capital_athletics_total,athletics_donors,athletics_total,corporations_total_giving,expenditures_per_student,foundations_total_giving,foundations_ops_athletics,foundations_ops_total,corporations_ops_athletics,corporations_ops_total,ops_athletics_total_grand,ops_total,total_giving_2004_onwards,total_giving_pre_2004,alumni_ops_pub_serv,corporations_total,foundations_total,appdate,applicants_male,applicants_female,admits_male,admits_female,enrolled_male,enrolled_female,satdate,satnum,satpct,actnum,actpct,satvr25,satvr75,satmt25,satmt75,actcm25,actcm75,acten25,acten75,actmt25,actmt75,name,city,state,fips,control,iclevel,black,asian,hispanic,vse_alum_giving_rate,first_time_students_missing,first_time_students_total,first_time_outofstate,first_time_instate
Florida Int. U.,Florida International,2008,36,,6,,,,,,2.0999999,2007,230,133951,"Florida International University (Miami, FL)",142456,,,,,40068,18611,89181,397864,.044,.042,.042,.899,.045,129760,5750,490373,,,,,,,3176208,12216,3220134,4750,1858366,185114,1967340,280557,6018115,10873175,10873175,,,,Fall 2001,5355,7517,2191,2577,1150,1229,Fall 2001,2597,96,1476,55,510,600,500,590,21,25,20,25,20,25,Florida International University,Miami,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.044312578,2805,3378,751,2627
,Florida International,,,,,,,,,,,2008,230,133951,"Florida International University (Miami, FL)",66545,50,,,,7590,20840,,364798,.047,.043,.043,.828,.029,148363,6992,538864,,,,,,,5328093,12191,7998699,18850,2013553,193215,1737796,400849,6026259,18796862,18796862,,,,Fall 2001,6696,9581,3159,3931,1016,968,Fall 2001,2464,74,881,26,520,600,510,590,22,25,21,25,21,25,Florida International University,Miami,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.047127653,2620,3138,657,2481
,Florida International,,,,,,,,,,,2009,230,133951,"Florida International University (Miami, FL)",67978,,,,,32831,61533,132473,514223,.065,.06,.063,.9540000000000001,.039,128571,8372,698579,,,,,,,3422393,7604,3565534,6690,1467050,277586,2648418,544342,8874986,17741253,17741253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.065115772,,,,
Florida State U.,Florida State,1989,59,,,,,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,,,3587,803,2784
Florida State U.,Florida State,1990,54,45,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
Florida State,Florida State,1991,61,50,,,,,,,,1990,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,.8265324276241307,,123660,12200,3842199,,,,,,,5290131,,1033598,,,,,,,,31625696,,5290131,1033598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.098657608,,,,
,Florida State,,,,,,,,,,,1991,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,.7941263048253062,,132489,12974,4029289,,,,,,,3997266,,589895,,,,,,,,18167614,,3997266,589895,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.097925112,,,,
Florida State U.,Florida State,1993,72,50,10,,,,980-1190,,,1992,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,.8281724303205472,,137702,13594,4722387,,,,,,,3683483,,2358258,,,,,,,,22360149,,3683483,2358258,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.098720424,,3256,650,2606
Florida State University,Florida State,1994,75,50,15,,,76,,1080,,1993,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,1,,139319,13016,4487067,,,,,,,4487425,,1032673,,,,,,,,17916811,,4487425,1032673,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.093425877,,,,
Florida State U.,Florida State,1996,76,50,15,,,,1080-1280,,,1995,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,.4577909609756743,,151034,12649,12512000,,,,,,,4629000,,4847000,,,,,,,,31622000,,4629000,4847000,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),10,2,6,.083749354,,,,
Florida State Univ,Florida State,1997,74,47,16,,,,,,,1996,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,.4578174419791023,,166621,13775,8028000,,,,,,,6591000,,3064000,,,,,,,,29989000,,6591000,3064000,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),10,2,6,.082672656,,3897,878,3019
Florida State Univ,Florida State,1998,72,43,24,,,,1020-1230,,3.0999999,1997,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,.5183203795296255,,168419,13699,8645000,,,,,,,10800000,,3688000,,,,,,,,32964000,,10800000,3688000,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),11,2,6,.0813388,,,,
Florida State University,Florida State,1999,75,45,21,,,,,,3,1998,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,1,,170251,14157,11974000,,,,,,,12439000,,1921000,,,,,,,,45409000,,12439000,1921000,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),11,2,7,.083153695,,4976,1057,3919
Florida State University,Florida State,2000,64,47,12,,,,1050-1250,,,1999,47,134097,"Florida State University (Tallahassee, FL)",962288,,,,599851,81340,4458320,210941,6383330,.09,,.088,1,,163849,14731,17367100,15001,8916640,790,,15791,,10890600,13103,2369890,,2220060,2229160,4476390,8916640,20193500,,54500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.089905947,,,,
Florida state U.,Florida State,2001,54,57,13,,,,,,3.2,2000,47,134097,"Florida State University (Tallahassee, FL)",963193,,2025,,,19818,4902880,570905,6537250,.147,,.143,.634,,166485,24526,25178700,15960,9805750,105,,16065,,14742300,13089,9153130,,8791600,2451440,4202190,9805750,26296900,,68203200,,,,,,,,,,,,,,,,,,,,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),12,3,7,.14731658,0,5647,1092,4555
Florida State U.,Florida State,2002,53,47,15,,,,,,3.0999999,2001,47,134097,"Florida State University (Tallahassee, FL)",999110,,2045,,,28752,5295153,406358,6790821,.119,,.119,.66,,164849,19537,23978783,,,,,,,17164917,14266,7008795,,4443414,2647576,4479335,10590305,22124798,,67879548,,,,Fall 2001,7935,10407,4801,6643,2406,3314,Fall 2001,3630,63,2992,52,530,630,530,640,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),12,3,8,.11851452,,5763,1342,4421
Florida State U.,Florida State,2003,70,58,13,,41,,,,3,2002,47,134097,"Florida State University (Tallahassee, FL)",31022,,14050,,,59251,5913770,,6070623,.096,,.096,.536,,200732,19321,18221021,16086,11827539,502,,,,21341861,13229,4551615,,3592243,2956885,5508049,11827540,23121814,,61222757,,,,Fall 2000,7935,10407,4801,6643,2406,3314,Fall 2000,3630,63,2992,52,530,630,530,640,,,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),12,3,8,.096252717,6175,6378,1103,5275
Florida State University,Florida State,2004,64,55,12,,41,,,,3.0999999,2003,47,134097,"Florida State University (Tallahassee, FL)",1307088,,2995,16101,151375,136323,5952684,309980,7956296,.126,,.117,.6459999999999999,.321,203165,25571,19104073,15662,11905368,50,9591457,15712,21496825,9769294,16925,14055192,,2771683,2976342,5244638,11905368,25173545,59493468,62897611,26056,,,Fall 2001,9159,13279,5798,8667,2557,3491,Fall 2001,3661,60,3180,52,520,620,530,630,22,27,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.12586321,5938,6096,887,5209
Florida State University,Florida State,2005,65,55,17,,42,,,,3,2004,47,134097,"Florida State University (Tallahassee, FL)",1159087,753,2278,8401,106870,105218,5818920,150888,7424058,.141,.141,.111,.927,.316,226225,31837,14099364,15331,11637839,50,4217617,15381,15855456,13330133,18036,4306392,,2873245,2909460,10420112,11637840,29067022,44679943,45649834,34065,,,Fall 2001,8927,13200,5616,8691,2480,3716,Fall 2001,3904,63,3247,52,530,630,540,630,22,27,,,,,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.14073157,6098,6240,819,5421
Florida State University,Florida State,2006,,,,,42,,,,3.0999999,2005,47,134097,"Florida State University (Tallahassee, FL)",974891,8728,12355,8190,79244,352970,6712849,86207,8324098,.124,,.05,.9129999999999999,.398,220699,27311,32775404,15159,13423582,16,29600950,15175,43024532,17304638,18669,6687370,,4738605,3355896,8915758,13425698,33376962,82378308,85951659,27792,,,Fall 2001,9061,13389,5590,8426,2505,3520,Fall 2001,4034,66,2038,33,530,620,540,630,23,27,23,28,23,27,Florida State University,Tallahassee,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.12374773,5914,6063,799,5264
Florida State University*,Florida State,2007,59,26,22,,38,,,,3,2006,47,134097,"Florida State University (Tallahassee, FL)",1129106,9453,70,8750,47383,130300,5433393,1112762,7949611,.141,,.065,.905,.319,241352,34104,16030639,14225,10866786,32,4510769,14257,15377555,10102535,19672,3823401,,1659237,2716697,6956028,10868710,27540811,50244834,54965279,46801,,,Fall 2001,9847,13840,5778,8249,3584,2593,Fall 2001,3696,59,2526,41,530,620,540,630,23,27,22,28,22,26,Florida State University,Tallahassee,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.14130399,6051,6219,746,5473
Florida State University*,Florida State,2008,55,33,22,,39,,,,3,2007,47,134097,"Florida State University (Tallahassee, FL)",1044165,20212,2000,4497,13576,211985,7294299,154218,8857255,.153,,.05,.9,.29,249318,38086,16549352,15873,14588597,41,8163133,15914,22751730,17375204,20513,4210789,,2468420,3647149,13737615,14593597,37899318,56974610,59861207,48091,,,Fall 2001,10186,14157,5681,7734,2666,3409,Fall 2001,3708,60,2425,40,540,630,550,640,23,28,,,,,Florida State University,Tallahassee,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,.15276073,5971,6124,640,5484
Florida State University*,Florida State,2009,47,31,21,,40,,,,3,2008,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall 2001,10495,14990,4734,7167,2083,2915,Fall 2001,2491,50,2540,51,550,640,560,650,24,28,,,,,Florida State University,Tallahassee,FL,Florida,Public,4 or more years (Baccalaureate or higher degree),,,,,4881,5012,456,4556
,Florida State,,,,,,,,,,,2009,47,134097,"Florida State University (Tallahassee, FL)",,,,,,,,,,.156,,,.946,.415,270701,42230,,,,,,,,9204499,25461,2333420,,,,,,27354081,47324590,52769461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.15600237,,,,
,Fresno State,,,,,,,,,,,1990,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,,,,,.9070587276358153,,49074,2478,581896,,,,,,,2594857,,442435,,,,,,,,7916555,,2594857,442435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.05049517,,,,
,Fresno State,,,,,,,,,,,1991,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,,,,,.7459537079854942,,41087,,1329531,,,,,,,5910582,,166835,,,,,,,,13466383,,5910582,166835,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
,Fresno State,,,,,,,,,,,1992,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,,,,,1.016585775977376,,52334,3509,707061,,,,,,,4337294,,211808,,,,,,,,10849928,,4337294,211808,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,.067050099,,1582,370,1212
,Fresno State,,,,,,,,,,,1993,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,,,,,.2987222222222222,,36000,3587,593774,,,,,,,5158146,,816111,,,,,,,,10881066,,5158146,816111,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,.099638887,,,,
,Fresno State,,,,,,,,,,,1995,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,,,,,.8,,10000,562,267000,,,,,,,5401000,,697000,,,,,,,,15923000,,5401000,697000,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5,10,23,.056200001,,,,
,Fresno State,,,,,,,,,,,1996,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,,,,,.7,,10000,355,437000,,,,,,,3546000,,1293000,,,,,,,,13331000,,3546000,1293000,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5,10,24,.035500001,,1540,43,1497
,Fresno State,,,,,,,,,,,1997,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,,,,,1,,58202,3569,716000,,,,,,,1851000,,2479000,,,,,,,,12269000,,1851000,2479000,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),6,10,26,.061320916,,,,
,Fresno State,,,,,,,,,,,1998,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,,,,,.8622269780323535,,79435,5155,4668000,,,,,,,4118000,,872000,,,,,,,,20760000,,4118000,872000,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5,11,25,.064895824,,1601,39,1562
,Fresno State,,,,,,,,,,,1999,109,110556,"California State Univ., Fresno (Fresno, CA)",1177820,50,,7705,545,27565,637213,83964,2088680,.069,.047,.067,.9470000000000001,,79988,5523,3310670,188,1519120,6,,194,,6896870,9425,1816690,152773,429018,899459,4902540,5911500,14582800,,24923800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.069047861,,,,
,Fresno State,,,,,,,,,,,2000,109,110556,"California State Univ., Fresno (Fresno, CA)",,,,,,,,,1034800,.047,.045,.044,.9079999999999999,,81076,3779,2671800,4,7900,2,,6,,2946200,11590,1027900,,884700,,1744300,,11700700,,23654200,,,,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5,11,27,.046610586,0,1941,61,1880
,Fresno State,,,,,,,,,,,2001,109,110556,"California State Univ., Fresno (Fresno, CA)",102700,,200,20300,600,24700,1131700,359600,1676800,.013,.012,.009,.458,,207506,2611,3778000,12,3200,,,,,3053000,11607,3318800,118800,472000,919200,1540900,5734500,10191300,,22744100,,,,Fall 2000,2765,3509,1788,2430,747,1138,Fall 2000,1550,80,,,390,530,410,550,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),5,11,27,.012582769,,2000,72,1928
,Fresno State,,,,,,,,,,,2002,109,110556,"California State Univ., Fresno (Fresno, CA)",178100,,4800,36600,751700,50600,1214666,336700,2609366,.023,.02,.02,.6,,198929,4641,4410366,48,48800,9,,,,4694257,12730,2200322,519222,1368922,1120457,2366657,6346534,11744534,,23072734,,,,Fall 2000,3217,4113,1944,2690,767,1179,Fall 2000,1662,83,,,400,540,410,550,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),4,9,23,.023329932,2279,2311,69,2242
,Fresno State,,,,,,,,,,,2003,109,110556,"California State Univ., Fresno (Fresno, CA)",201000,,700,38300,752000,30100,1182922,108500,2403022,.021,.02,.017,.988,.191,148218,3179,4283922,5,33600,,,5,33600,2398322,13078,812400,8900,464600,303422,1231622,5944365,12279765,22426465,22426465,,,,Fall 2000,4189,4874,2654,3323,917,1274,Fall 2000,1900,82,,,400,530,415,550,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,.021448137,2595,2616,42,2574
,Fresno State,,,,,,,,,,,2004,109,110556,"California State Univ., Fresno (Fresno, CA)",171400,,8500,35500,6200,36200,663720,315500,1350620,.021,.019,.02,.142,.143,145557,3074,2051520,4568,3823587,2,200,4570,3823787,4030254,11828,2104600,309000,621300,1165054,2397254,4919586,8221086,14341686,14341686,,,,Fall 2000,4593,5808,3128,4121,982,1504,Fall 2000,2260,86,,,400,530,420,550,,,,,,,CALIFORNIA STATE UNIVERSITY-FRESNO,FRESNO,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,.021118874,2326,2329,32,2297
,Fresno State,,,,,,,,,,,2005,109,110556,"California State Univ., Fresno (Fresno, CA)",170500,,6400,33900,1000,51300,1688100,308500,2304400,.026,.024,.024,.317,.268,141647,3665,4182389,76,62100,160,985000,236,1047100,3557300,12382,1770100,50400,634200,1155700,2994700,4646300,9392700,15612789,15621000,,,,Fall 2000,4886,6462,3015,4087,892,1351,Fall 2000,2077,89,677,29,410,530,430,550,16,22,15,21,17,24,California State University-Fresno,Fresno,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,.025874181,2420,2447,40,2407
,Fresno State,,,,,,,,,,,2006,109,110556,"California State Univ., Fresno (Fresno, CA)",112200,100,10500,65900,,41000,1515700,434600,2249100,.018,.016,.02,.404,.18,160059,2853,2644800,3878,6201800,57,257200,3935,6459000,4261900,13430,512600,400,415800,1668500,3702800,6201800,10713300,14678700,14699500,,,,Fall 2000,5753,7499,3696,4956,953,1403,Fall 2000,2166,88,760,31,400,530,420,550,16,22,14,21,17,23,California State University-Fresno,Fresno,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,.017824678,2587,2612,49,2563
,Fresno State,,,,,,,,,,,2007,109,110556,"California State Univ., Fresno (Fresno, CA)",93215,500,16222,21244,265,998471,729237,490502,2459331,.021,.027,.02,.8140000000000001,.182,160113,3402,2769029,3474,2794609,133,919592,3607,3714201,4025563,10327,1201334,1124,1079334,924244,3167332,2885568,11068816,15206201,15220957,,,,Fall 2000,6133,7397,4036,5224,1027,1501,Fall 2000,2320,89,692,27,390,520,410,540,16,22,14,21,17,23,California State University-Fresno,Fresno,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,.021247493,2614,2644,57,2587
,Fresno State,,,,,,,,,,,2008,109,110556,"California State Univ., Fresno (Fresno, CA)",239110,,19563,26977,,149110,1034081,353461,1883952,.026,.033,.025,.272,.398,158347,4123,6651962,3389,4304968,40,156468,3429,4461436,3581221,13254,1113223,792,764373,1178400,2667918,4501085,8592217,16708909,16757909,,,,Fall 2000,6039,7412,4001,5251,1026,1527,Fall 2000,2327,88,716,27,390,510,410,540,16,22,14,21,16,23,California State University-Fresno,Fresno,CA,California,Public,4 or more years (Baccalaureate or higher degree),,,,.026037753,2794,2823,54,2769
,Fresno State,,,,,,,,,,,2009,109,110556,"California State Univ., Fresno (Fresno, CA)",281012,250,27251,71978,400,55567,2130422,214308,2861743,.027,.034,.026,.5629999999999999,.072,169580,4519,3206627,3204,3594130,12,404699,3216,3998829,3477332,13438,32478175,12256,31960175,1328098,2900013,5061468,41197638,44633482,44633482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.02664819,,,,
U. of Georgia,Georgia,1990,69,52,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
U. of Georgia,Georgia,1991,79,33,,,,,930-1140,,,1990,52,139959,"University of Georgia (Athens, GA)",,,,,,,,,,,,,.9831874149778507,,143345,24416,15205590,,,,,,,4738992,,3136045,,,,,,,,28151097,,4738992,3136045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.17033032,,,,
,Georgia,,,,,,,,,,,1991,52,139959,"University of Georgia (Athens, GA)",,,,,,,,,,,,,.9815413865503115,,146219,25678,6955903,,,,,,,5968733,,4498319,,,,,,,,23271353,,5968733,4498319,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),,,,.1756133,,,,
University of Georgia,Georgia,1993,64,40,19,,,,980-1180,,,1992,52,139959,"University of Georgia (Athens, GA)",,,,,,,,,,,,,.9795019208553851,,148892,31053,7555536,,,,,,,9211145,,3308290,,,,,,,,25849160,,9211145,3308290,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),,,,.20856057,,3231,479,2752
University of Georgia,Georgia,1994,70,43,22,,,58,,1100,,1993,52,139959,"University of Georgia (Athens, GA)",,,,,,,,,,,,,.9795019208553851,,148892,34072,24426447,,,,,,,6858109,,5443523,,,,,,,,42140162,,6858109,5443523,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),,,,.22883701,,,,
U. of Georgia,Georgia,1996,59,49,21,,,,1090-1270,,,1995,52,139959,"University of Georgia (Athens, GA)",,,,,,,,,,,,,.979759757924015,,163585,34499,8277000,,,,,,,6720000,,5347000,,,,,,,,29201000,,6720000,5347000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),6,2,1,.21089342,,,,
Univ of Georgia,Georgia,1997,56,,20,,,,,,,1996,52,139959,"University of Georgia (Athens, GA)",,,,,,,,,,,,,.9790143010201705,,171736,33728,11003000,,,,,,,8307000,,4566000,,,,,,,,31013000,,8307000,4566000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),7,2,1,.19639447,,3249,333,2916
Univ of Georgia,Georgia,1998,73,,20,,,,1100-1290,,3.4000001,1997,52,139959,"University of Georgia (Athens, GA)",,,,,,,,,,,,,.9781838909712746,,173679,34772,40810000,,,,,,,7481000,,5503000,,,,,,,,65887000,,7481000,5503000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),7,3,1,.20020843,,,,
University of Georgia,Georgia,1999,66,53,21,,,,,,3.4000001,1998,52,139959,"University of Georgia (Athens, GA)",,,,,,,,,,,,,.9707963929425103,,171109,31963,14569000,,,,,,,9243000,,5983000,,,,,,,,41272000,,9243000,5983000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),6,3,1,.18679906,,4404,469,3935
University of Georgia,Georgia,2000,63,61,19,,,,1100-1290,,,1999,52,139959,"University of Georgia (Athens, GA)",1395420,5200,10000,12457,1398,4354250,990835,157826,7984460,.185,.194,.179,.961,,173257,32087,12434200,13860,8698310,1061,,14921,,9092810,27204,10066200,102450,5287540,359660,6314530,1923160,24921300,,42534100,108218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.18519887,,,,
U. of Georgia,Georgia,2001,62,41,19,,,,,,3.5,2000,52,139959,"University of Georgia (Athens, GA)",1707240,3950,9020,24024,1046,4831860,996000,190645,9154950,.188,.195,.183,.9229999999999999,,180748,34009,15224300,14666,10331000,565,,15231,,10419600,29227,10354700,156830,6409550,850583,6402200,2500270,28022500,,45738900,129261,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),6,3,1,.18815699,0,4227,455,3772
U. of Georgia,Georgia,2002,62,40,19,,,,,,3.5,2001,52,139959,"University of Georgia (Athens, GA)",2238912,4800,18326,107941,1074,4985774,1491004,177054,10330299,.18,.189,.175,.909,,184117,33231,13305549,14962,11047461,384,,,,9278711,30049,7468137,99083,4316056,501287,7422329,2817540,28407324,,43602733,105424,,,Fall 2001,4557,6396,3374,5045,1816,2651,Fall 2001,4351,77,1317,23,560,660,570,670,25,30,26,31,25,30,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),6,3,1,.1804885,,4480,604,3876
U. of Georgia,Georgia,2003,65,46,19,,53,,,,3.4000001,2002,52,139959,"University of Georgia (Athens, GA)",2543242,5977,40294,85489,159,6496785,1722857,238168,12442022,.174,.19,.166,.9079999999999999,,195450,33952,21927338,13278,14064305,2226,,,,10999049,30299,10354423,62895,5172649,689916,9080757,3882420,35626956,,57831973,162665,,,Fall 2001,5406,7380,3315,5025,1685,2513,Fall 2001,4059,96,1194,28,550,640,560,650,24,29,24,30,24,28,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),6,3,1,.17371194,4277,4295,623,3672
University of Georgia,Georgia,2004,75,43,19,,53,,,,3.5,2003,52,139959,"University of Georgia (Athens, GA)",2326434,2600,1400,21278,100,131162,12051701,154892,16047292,.17,.18,.14,.8159999999999999,.363,197986,33709,20328971,17608,18746947,1921,2908984,19529,21655931,8669353,30932,9964027,224980,4748483,571473,6941312,18609656,37101443,56002194,59073376,174731,,,Fall 2001,4726,7087,3357,5528,1996,3144,Fall 2001,4947,96,1692,33,550,650,560,650,23,28,22,28,23,27,UNIVERSITY OF GEORGIA,ATHENS,GA,Georgia,Public,4 or more years (Baccalaureate or higher degree),,,,.17025952,5161,5186,786,4400
